company_id,company,year,motivators
012,Dillinger,2019,Reduction of carbon dioxide emissions
012,Dillinger,2019,Compliance with environmental standards
012,Dillinger,2019,Compliance with social standards
012,Dillinger,2019,Reduction of GHG emissions
012,Dillinger,2019,Achievement of net-zero targets
012,Dillinger,2019,Transition from fossil fuels
012,Dillinger,2019,Development of new technologies
012,Dillinger,2019,Testing of new technologies on an industrial scale
012,Dillinger,2021,External incentives
012,Dillinger,2021,Pressure from logistic bottlenecks
012,Dillinger,2022,EU Commission’s Green Deal
012,Dillinger,2022,Carbon border adjustment mechanism (CBAM)
012,Dillinger,2022,Allocation of free allowances on the blast furnace converter route
012,Dillinger,2022,Policy framework for decarbonisation on competitive terms
012,Dillinger,2022,Net-zero targets
012,Dillinger,2022,Fossil fuel transition
012,Dillinger,2022,Sustainable Development Goals
012,Dillinger,2022,Carbon reduction target for 2030
