company_id,company,year,motivators
006,TataSteelNederland,2022,"Pressure from stakeholders such as shareholders, customers, local residents, and governments to report on non-financial performance."
006,TataSteelNederland,2022,Commitment to create value in the long term.
006,TataSteelNederland,2022,Opportunity to contribute to a more sustainable world through product development.
006,TataSteelNederland,2022,Pressure from increasing sustainability requirements in steel applications.
006,TataSteelNederland,2022,"Opportunity to contribute to sustainable construction, sustainable transport, renewable power generation, and sustainable products."
006,TataSteelNederland,2022,Commitment to making production greener and achieving green steel in a clean environment.
006,TataSteelNederland,2022,Pressure to reduce CO2 emissions from steel production.
006,TataSteelNederland,2023,Award of substantial Dutch and European subsidy in support of decarbonisation research
006,TataSteelNederland,2023,Importance placed on decarbonisation work by society
006,TataSteelNederland,2023,Legal requirements to reach net zero by 2050 in European countries
006,TataSteelNederland,2023,Clear direction from politicians on decarbonisation
006,TataSteelNederland,2023,Increased focus from society on decarbonisation
006,TataSteelNederland,2023,Obligation to contribute to net zero goals in the future
006,TataSteelNederland,2023,Ambition to be carbon neutral by 2045
006,TataSteelNederland,2024,EU's Green Deal and Fit for 55 package
006,TataSteelNederland,2024,Carbon Border Adjustment Mechanism (CBAM)
006,TataSteelNederland,2024,European Union's net-zero target by 2050
006,TataSteelNederland,2024,Corporate Sustainability Reporting Directive (CSRD)
006,TataSteelNederland,2024,European Sustainability Reporting Standards (ESRS)
006,TataSteelNederland,2024,Emission Trading System (ETS)
006,TataSteelNederland,2024,EU-PRTR (European Pollutant Release and Transfer Register)
006,TataSteelNederland,2024,EUROFER's commitment to net-zero by 2050
006,TataSteelNederland,2024,Tata Steel Nederland's net-zero target by 2050
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions by 50% by 2030
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce energy consumption by 20% by 2030
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce CO2 emissions by 50% by 2030
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce CO2 emissions by 80% by 2040
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to achieve net-zero by 2040
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce fossil fuel usage
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to transition to low-carbon production
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to invest in low-carbon technologies
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce dependence on fossil fuels
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce reliance on fossil fuels
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to achieve carbon neutrality
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce carbon footprint
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce environmental impact
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from operations
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from supply chain
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from production
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from transportation
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from energy consumption
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from industrial processes
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from waste management
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from land use changes
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from product use and end-of-life
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from supply chain operations
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from supply chain transportation
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from supply chain energy consumption
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from supply chain industrial processes
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from supply chain waste management
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from supply chain land use changes
006,TataSteelNederland,2024,Tata Steel Nederland's commitment to reduce GHG emissions from supply chain product use and end-of-life
006,TataSteelNederland,2024,Tata Steel Nederland's
