company_id,company,year,motivators
007,Celsa,2020,Pressure from the European Union's deadline for net-zero targets
007,Celsa,2020,Commitment to being a benchmark for the sector
007,Celsa,2020,Opportunity to be Net Positive Carbon by 2040
007,Celsa,2020,Commitment to successfully complete ambitious decarbonisation milestones
007,Celsa,2020,Pressure to reduce CO2 emissions by 55% in 2025
007,Celsa,2020,Commitment to increasing energy efficiency by 30%
007,Celsa,2020,Commitment to achieving zero residue
007,Celsa,2020,Commitment to being a company more committed to society and the planet
007,Celsa,2020,Commitment to building a company for future generations
007,Celsa,2023,Compliance with current regulations and national/international frameworks
007,Celsa,2023,Firm commitment to ethics and transparency of operations
007,Celsa,2023,Integrity
007,Celsa,2023,Transparent disclosure of information
007,Celsa,2023,Development of applicable laws and regulations
007,Celsa,2023,Responsibility to comply with existing regulations and global frameworks
007,Celsa,2023,Corporate identity
007,Celsa,2023,Vision of sustainability
007,Celsa,2023,Business practices
007,Celsa,2023,Governance aspects
007,Celsa,2023,Social aspects
007,Celsa,2023,Environmental aspects
007,Celsa,2023,Societal aspects
