company_id,company,year,motivators,topic
13,SIDENOR,2022,Our commitment to contribute in the global efforts to combat climate change,-1
13,SIDENOR,2022,Our commitment to minimize our carbon emissions,0
13,SIDENOR,2022,Our commitment to reduce our energy consumption,7
13,SIDENOR,2022,"Our commitment to use energy in a responsible, efficient and cost-effective manner",7
13,SIDENOR,2022,Our commitment to minimize our carbon footprint,0
13,SIDENOR,2022,Our commitment to address and mitigate the climate challenge,-1
13,SIDENOR,2022,Our compliance with the energy management system ISO 50001,7
13,SIDENOR,2022,The implementation of the energy management system to reduce energy consumption and carbon emissions,7
13,SIDENOR,2022,The annual auditing of the energy management system to ensure transparency and quality,7
13,SIDENOR,2022,The focus on GHG emissions reduction,0
13,SIDENOR,2022,The mitigation of potential negative impact to the environment,-1
13,SIDENOR,2024,Transition plan to reach climate neutrality by 2050,3
13,SIDENOR,2024,"Delegated Regulation (EU) 2020/1818, Article 12.1 (d) to (g), and Article 12.2",2
13,SIDENOR,2024,Undertakings excluded from Paris-aligned Benchmarks,-1
13,SIDENOR,2024,Paris-aligned Benchmarks,-1
13,SIDENOR,2024,GHG emission reduction targets,0
13,SIDENOR,2024,"Climate change transition risk: Credit quality of exposures by sector, emissions and residual maturity",8
13,SIDENOR,2024,Alignment metrics,-1
13,SIDENOR,2024,Energy consumption from fossil sources disaggregated by sources (only high climate impact sectors),7
13,SIDENOR,2024,Energy consumption and mix,7
13,SIDENOR,2024,Energy intensity associated with activities in high climate impact sectors,7
13,SIDENOR,2024,Managing GHG emissions,0
13,SIDENOR,2024,"Gross Scope 1, 2, 3 and Total GHG emissions",0
5,SSAB,2014,Uncertain economic climate and outlook,7
5,SSAB,2014,Excess capacity in the steel industry,1
5,SSAB,2014,Consolidation in the steel industry,1
5,SSAB,2014,Changed growth patterns globally,1
5,SSAB,2014,Increased demand for steel in mature markets,1
5,SSAB,2014,New energy developments creating opportunities for industrial activity,-1
5,SSAB,2014,Plans for consolidation and capacity downsizing among less competitive and environmentally sound mills,1
5,SSAB,2014,Pressure from authorities to address excess capacity and environmental issues,2
5,SSAB,2015,"Demand for steel has improved, forecasted to grow in Europe and North America.",1
5,SSAB,2015,World needs stronger steels.,1
5,SSAB,2015,Ability to innovate.,0
5,SSAB,2015,Positioning for future earnings.,4
5,SSAB,2015,Contribution to a more sustainable world.,4
5,SSAB,2015,Road to leading profitability in the steel industry.,1
5,SSAB,2016,"A stronger, lighter and more sustainable world.",4
5,SSAB,2016,Customer’s business in focus.,6
5,SSAB,2016,"Externally Developed Economic, Environmental and Social Charters, Principles, or Other Initiatives to Which the Organization Subscribes or Which It Endorses.",4
5,SSAB,2016,Memberships of associations.,9
5,SSAB,2016,"Organization’s values, principles, standards and norms of behavior such as codes of conduct and codes of ethics.",2
5,SSAB,2016,Total weight of waste by type and disposal method.,0
5,SSAB,2016,Communication and training on anti-corruption policies and procedures.,2
5,SSAB,2017,We are committed to reducing CO2 emissions,0
5,SSAB,2017,"We take economic, social and environmental responsibility into consideration in our business",4
5,SSAB,2017,Our long-term safety goal is zero accidents,2
5,SSAB,2017,We are committed to striving for zero accidents through our safety work,2
5,SSAB,2017,We are committed to achieving our financial targets,4
5,SSAB,2017,We are committed to achieving our sustainability targets,4
5,SSAB,2017,We are committed to achieving our long-term value,4
5,SSAB,2017,Transparency and reliable reporting,2
5,SSAB,2017,We are committed to striving for long-term value through our business,4
